"signal / variable / member name";"context (frame or PDU / RTE port or operation)";"ECU";"bus signal / system variable";"direction";"access";"classification";"hooked";"ASR type";"VTT type";"array length";"bit count";"total bit count";"init value raw";"init value phys";"min value raw";"max value raw";"min value phys";"max value phys";"num_v1";"num_v2";"denom_v1";"unit";"comment"
"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00::sig_AFSSwitch_omsg_Rear_2_MyECU_oCAN00";"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"1";"1";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00::sig_CurrentSpeedSlider_omsg_Rear_2_MyECU_oCAN00";"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00::sig_HighBeamSwitch_omsg_Rear_2_MyECU_oCAN00";"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"1";"1";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00::sig_SteeringWheelPosition_omsg_Rear_2_MyECU_oCAN00";"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"signed int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00::sig_AmbientLightBrightness_omsg_Rear_2_MyECU_oCAN00";"CAN::CAN00::::msg_Rear_2_MyECU_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00::sig_LeftHAngle_omsg_MyECU_2_Rear_oCAN00";"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00";"MyECU";"BS";"Tx";"";"";"";"";"signed int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00::sig_DoorLock_omsg_MyECU_2_Rear_oCAN00";"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00";"MyECU";"BS";"Tx";"";"";"";"";"signed int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00::sig_LeftLightLength_omsg_MyECU_2_Rear_oCAN00";"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00";"MyECU";"BS";"Tx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00::sig_RightHAngle_omsg_MyECU_2_Rear_oCAN00";"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00";"MyECU";"BS";"Tx";"";"";"";"";"signed int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00::sig_RightLightLength_omsg_MyECU_2_Rear_oCAN00";"CAN::CAN00::MyECU::msg_MyECU_2_Rear_oCAN00";"MyECU";"BS";"Tx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"VTT::MyECU::Controller::State";"VTT::MyECU::Controller";"MyECU";"SV";"";"RW";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Controller::PowerSupply";"VTT::MyECU::Controller";"MyECU";"SV";"";"RW";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Controller::ResetPin";"VTT::MyECU::Controller";"MyECU";"SV";"";"RW";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_AFSSwitch";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_HighBeamSwitch";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_BatteryLevel";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::DioChannelGroup";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
